geneID	log2Ratio
ENSG00000135842	6.54600203056841
ENSG00000161570	7.6843676645018
ENSG00000111863	-5.25306159340327
ENSG00000113088	6.181314707555
ENSG00000143365	6.80112906018851
ENSG00000231991	4.55792500039005
ENSG00000057657	4.14673950210821
ENSG00000142347	5.63479808898458
ENSG00000145649	6.39321283266821
ENSG00000135362	7.13170411883609
ENSG00000126822	6.7053662117412
ENSG00000171476	7.41412129123728
ENSG00000165617	-6.76941751088783
ENSG00000144824	5.17271712513303
ENSG00000230006	-6.8828922387767
ENSG00000232021	-5.08753048791559
ENSG00000115607	7.93559373441232
ENSG00000178573	4.21229363034149
ENSG00000163629	6.89596496060352
ENSG00000008283	4.346456696606
ENSG00000135960	-6.25038840410161
ENSG00000132718	4.72908972827028
ENSG00000150093	3.68219368739979
ENSG00000160791	7.63860379693747
ENSG00000169398	-5.90994390847859
ENSG00000121807	6.89917635373368
ENSG00000139289	5.0281914984423
ENSG00000152969	7.58014898340838
ENSG00000138311	6.81008835452121
ENSG00000269378	3.6856085047169
ENSG00000148175	4.05134319481592
ENSG00000077984	7.88695311256889
ENSG00000111796	5.58145142423377
ENSG00000104490	4.09034999130909
ENSG00000134765	-6.51044691927384
ENSG00000204131	7.72032073390509
ENSG00000000971	7.92089867595839
ENSG00000204161	7.23688098819845
ENSG00000182718	4.41871418152762
ENSG00000222041	4.76595027667129
ENSG00000183691	-8.10479987426156
ENSG00000183813	5.00261755975274
ENSG00000181104	6.87260835346097
ENSG00000004399	5.66656857458682
ENSG00000150938	5.49224777352402
ENSG00000072110	-4.14334883584707
ENSG00000154027	-3.74834461068898
ENSG00000062524	7.63490375989739
ENSG00000166483	4.46414264233783
ENSG00000130396	4.10806408726473
ENSG00000268758	-3.78521849170754
ENSG00000173597	-3.92867000075368
ENSG00000116815	4.39385457865869
ENSG00000073861	6.14871118835299
ENSG00000169896	7.39450383763524
ENSG00000188001	5.68519929898561
ENSG00000167664	-3.91112267441154
ENSG00000126353	-4.39701420350114
ENSG00000185697	4.07888302634071
ENSG00000131981	6.35025932182459
ENSG00000156475	4.95143669418536
ENSG00000189283	-3.81001547623318
ENSG00000144290	7.57419656026982
ENSG00000111962	5.49723372415991
ENSG00000248334	-4.53297882130078
ENSG00000026103	3.32338306347742
ENSG00000158321	5.25757069066172
ENSG00000178607	3.12096020397776
ENSG00000124942	3.1912436982956
ENSG00000225783	4.64032050056119
ENSG00000229153	-4.18212495473729
ENSG00000044115	4.51526003746415
ENSG00000181847	3.58512067017716
ENSG00000198915	6.47840704832312
ENSG00000183473	-4.99251868387869
ENSG00000197057	6.02993929263349
ENSG00000116991	5.48252368931065
ENSG00000160789	5.93038941232585
ENSG00000111728	3.48675733419932
ENSG00000134107	4.81472047584261
ENSG00000075340	-7.45529375008698
ENSG00000111537	5.70853577905488
ENSG00000196154	2.98539100087461
ENSG00000189233	6.94136495243457
ENSG00000153885	6.30518594404021
ENSG00000007968	6.41556410883372
ENSG00000156395	-7.22330414890305
ENSG00000172215	8.29795254815758
ENSG00000233093	4.74971250227657
ENSG00000107968	5.2808795908205
ENSG00000119408	6.34175116459707
ENSG00000182621	3.42181573697289
ENSG00000108924	4.53601731083663
ENSG00000196569	5.0161783896041
ENSG00000152990	-5.90916958574285
ENSG00000164512	-3.59068980333867
ENSG00000070018	-3.65371526171339
ENSG00000180549	6.43414398596316
ENSG00000169252	5.41556542366889
ENSG00000246526	4.13009854859223
ENSG00000007516	6.15727918213779
ENSG00000151208	5.31829102831324
ENSG00000133816	3.28926858123186
ENSG00000273038	3.81183231214779
ENSG00000129270	-5.86489967623852
ENSG00000091436	5.39038553552071
ENSG00000232022	5.36105645036602
ENSG00000243836	4.36396372824202
ENSG00000167207	4.37675981377083
