GeneID	TPM
ENSG00000000457	0.68
ENSG00000000460	0.72
ENSG00000000938	76.42
ENSG00000000971	0.01
ENSG00000001460	0.89
ENSG00000001461	2.72
ENSG00000004455	6.90
ENSG00000004487	4.16
ENSG00000006555	0.01
ENSG00000007341	1.84
ENSG00000007908	0.00
ENSG00000007923	2.93
ENSG00000007933	0.00
ENSG00000007968	0.35
ENSG00000008118	0.01
ENSG00000008128	2.12
ENSG00000008130	13.96
ENSG00000009307	47.87
ENSG00000009709	0.00
ENSG00000009724	0.00
ENSG00000009780	2.31
ENSG00000009790	1.17
ENSG00000010072	1.37
ENSG00000010165	3.64
ENSG00000010803	0.82
ENSG00000010932	0.05
ENSG00000011007	2.97
ENSG00000011009	6.56
ENSG00000011021	1.44
ENSG00000014914	0.20
ENSG00000016490	0.00
ENSG00000016602	0.00
ENSG00000018625	0.00
ENSG00000020129	0.84
ENSG00000020633	0.45
ENSG00000021852	0.00
ENSG00000023572	9.29
ENSG00000023902	26.59
ENSG00000023909	1.00
ENSG00000024526	0.25
ENSG00000025800	3.50
ENSG00000026751	32.81
ENSG00000027644	0.00
ENSG00000027869	0.02
ENSG00000028137	14.20
ENSG00000031698	38.00
ENSG00000033122	0.00
ENSG00000034971	0.00
ENSG00000035687	9.64
ENSG00000036549	6.62
ENSG00000037637	2.02
ENSG00000040487	8.87
ENSG00000041988	1.63
ENSG00000042781	0.00
ENSG00000043514	1.84
ENSG00000044012	0.00
ENSG00000047410	6.00
ENSG00000048707	3.17
ENSG00000049089	1.99
ENSG00000049239	3.78
ENSG00000049245	26.11
ENSG00000049246	3.44
ENSG00000049247	0.01
ENSG00000049249	0.17
ENSG00000050628	0.00
ENSG00000052723	4.09
ENSG00000053371	16.00
ENSG00000053372	6.89
ENSG00000054116	10.81
ENSG00000054118	8.54
ENSG00000054267	3.38
ENSG00000054277	7.58
ENSG00000054282	7.66
ENSG00000054392	1.03
ENSG00000054523	5.41
ENSG00000055070	7.86
ENSG00000055732	5.63
ENSG00000057252	26.31
ENSG00000057468	0.00
ENSG00000057757	7.58
ENSG00000058085	0.01
ENSG00000058453	0.84
ENSG00000058668	6.55
ENSG00000058673	10.35
ENSG00000058799	5.41
ENSG00000058804	1.69
ENSG00000059588	3.21
ENSG00000060642	1.21
ENSG00000060656	0.02
ENSG00000060688	4.95
ENSG00000060718	0.00
ENSG00000064703	1.30
ENSG00000064886	0.86
ENSG00000065135	1.58
ENSG00000065183	1.14
ENSG00000065243	1.90
ENSG00000065526	1.67
ENSG00000065600	4.70
ENSG00000065978	141.78
ENSG00000066027	9.12
ENSG00000066056	12.05
ENSG00000066135	2.72
ENSG00000066136	5.60
ENSG00000066185	0.23
ENSG00000066279	0.68
ENSG00000066294	23.46
ENSG00000066322	11.17
ENSG00000066557	1.93
ENSG00000067208	3.65
ENSG00000067334	5.02
ENSG00000067533	1.38
ENSG00000067606	0.02
ENSG00000067704	11.05
ENSG00000069248	2.84
ENSG00000069275	8.70
ENSG00000069424	27.29
ENSG00000069702	0.13
ENSG00000069712	0.43
ENSG00000069812	1.48
ENSG00000070759	1.72
ENSG00000070785	3.16
ENSG00000070831	60.10
ENSG00000070886	0.00
ENSG00000072694	1.02
ENSG00000073754	0.00
ENSG00000073756	0.12
ENSG00000074800	141.19
ENSG00000074964	0.97
ENSG00000075151	4.63
ENSG00000075391	4.46
ENSG00000075945	1.72
ENSG00000076258	0.89
ENSG00000076321	2.29
ENSG00000076356	0.29
ENSG00000076864	0.75
ENSG00000077152	0.68
ENSG00000077157	2.53
ENSG00000077254	9.39
ENSG00000077522	0.01
ENSG00000077549	28.65
ENSG00000077585	7.29
ENSG00000078369	14.85
ENSG00000078618	13.41
ENSG00000078808	17.27
ENSG00000078900	0.02
ENSG00000079277	8.92
ENSG00000079335	0.49
ENSG00000079739	3.31
ENSG00000080910	0.00
ENSG00000080947	0.40
ENSG00000081019	1.00
